Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
4/1/00,11280.3,10765,22045.3
5/9/01,11249.9,10775.2,22025.1
10/14/01,11392.7,10723.2,22115.9
15-19,11445.2,10755.1,22200.3
20-24,11588.1,10989.2,22577.3
25-29,11434.4,10947,22381.4
30-34,11155.9,10818.8,21974.7
35-39,10633.6,10412.6,21046.2
40-44,10109.8,10009.3,20119.1
45-49,9191.9,9163.7,18355.6
50-54,8050.2,8061,16111.2
55-59,6740,6791.7,13531.7
60-64,5280.8,5337,10617.8
65-69,3860.6,3968,7828.5
70-74,2345.9,2546.5,4892.4
75+,2112,2748.1,4860.1
Jumlah/Total,137871.1,134811.5,272682.5
,,,
Catatan,,,
Hasil Proyeksi Penduduk Interim 2020–2023 (Pertengahan tahun/Juni)/<i>The result of Interim Population Projection 2020–2023 (mid year/June)</i>,,,
